date,season,forecast_load,target_load,load_gap,underload_pct,top_segment_id,top_segment_name,top_3_segment_ids,top_3_segment_names,score_top,recommendation_reason,suggested_action
2025-10-31,autumn,293.2,545.8,252.6,46.3,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-01,autumn,291.1,545.8,254.7,46.7,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-02,autumn,280.2,545.8,265.6,48.7,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-03,autumn,296.9,545.8,248.9,45.6,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-04,autumn,338.4,545.8,207.4,38.0,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-05,autumn,324.0,545.8,221.8,40.6,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-06,autumn,329.1,545.8,216.7,39.7,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-07,autumn,339.7,545.8,206.1,37.8,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-08,autumn,342.8,545.8,203.0,37.2,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-09,autumn,324.6,545.8,221.2,40.5,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-10,autumn,338.7,545.8,207.1,37.9,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
